City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,nar'yan-mar,67.6713,53.087,20.34,74,100,1.86,RU,1690381951
1,puerto natales,-51.7236,-72.4875,0.24,86,52,1.44,CL,1690381951
2,cuajinicuilapa,16.4667,-98.4167,29.29,67,35,1.22,MX,1690381951
3,adamstown,-25.066,-130.1015,20.37,67,55,10.2,PN,1690381952
4,okha,53.5739,142.9478,11.79,99,100,3.44,RU,1690381952
5,thompson,55.7435,-97.8558,11.09,82,100,3.09,CA,1690381952
6,yellowknife,62.456,-114.3525,18.29,55,75,5.14,CA,1690381741
7,acarau,-2.8856,-40.12,31.56,48,6,7.67,BR,1690381953
8,richmond,37.5538,-77.4603,29.55,73,0,1.54,US,1690381657
9,manaure,11.7751,-72.4445,30.42,64,42,3.09,CO,1690381953
10,ingeniero guillermo n. juarez,-23.9,-61.85,17.84,63,100,4.33,AR,1690381953
11,tucurui,-3.7661,-49.6725,33.77,38,0,2.12,BR,1690381913
12,invercargill,-46.4,168.35,5.43,90,92,11.82,NZ,1690381954
13,alice springs,-23.7,133.8833,12.75,62,40,0.0,AU,1690381954
14,bethel,41.3712,-73.414,26.94,87,20,2.57,US,1690381900
15,sinop,41.7711,34.8709,29.07,42,0,1.82,TR,1690381954
16,bilibino,68.0546,166.4372,6.31,87,86,1.45,RU,1690381955
17,broome,42.2506,-75.833,26.78,81,0,2.06,US,1690381955
18,cidreira,-30.1811,-50.2056,20.39,81,98,3.1,BR,1690381955
19,georgetown,5.4112,100.3354,28.97,84,20,1.54,MY,1690381712
20,usinsk,65.9939,57.5281,17.34,83,100,4.53,RU,1690381955
21,atafu village,-8.5421,-172.5159,27.93,77,90,8.48,TK,1690381956
22,aasiaat,68.7098,-52.8699,2.97,88,65,3.93,GL,1690381956
23,vorgashor,67.5833,63.95,16.12,86,99,4.67,RU,1690381956
24,mount gambier,-37.8333,140.7667,6.96,86,38,3.52,AU,1690381957
25,west island,-12.1568,96.8225,24.99,83,75,10.29,CC,1690381957
26,kiama,-34.6833,150.8667,13.33,85,12,0.45,AU,1690381957
27,port-aux-francais,-49.35,70.2167,4.47,86,100,19.55,TF,1690381957
28,lompoc,34.6391,-120.4579,16.08,100,40,0.0,US,1690381932
29,vilyuchinsk,52.9306,158.4028,13.15,86,76,1.22,RU,1690381957
30,margaret river,-33.95,115.0667,12.31,83,100,10.93,AU,1690381958
31,waitangi,-43.9535,-176.5597,9.53,70,98,11.68,NZ,1690381958
32,sao vicente,-23.9631,-46.3919,30.15,51,0,1.34,BR,1690381777
33,soto la marina,23.7667,-98.2167,31.06,50,13,4.02,MX,1690381958
34,kingston,17.997,-76.7936,31.8,69,20,3.09,JM,1690381733
35,xunchang,28.4543,104.715,22.79,97,100,0.75,CN,1690381959
36,kirkland lake,48.1446,-80.0377,18.16,72,100,2.06,CA,1690381959
37,jamestown,42.097,-79.2353,25.31,78,0,3.6,US,1690381797
38,albany,42.6001,-73.9662,26.41,85,1,0.45,US,1690381712
39,priozersk,61.0393,30.1291,19.49,77,100,2.54,RU,1690381959
40,tolanaro,-25.0319,46.9987,20.04,64,40,4.63,MG,1690381960
41,kibre mengist,5.8833,38.9833,19.24,71,73,1.67,ET,1690381961
42,santa elena de uairen,4.6167,-61.1333,23.79,76,77,1.92,VE,1690381961
43,chernyshevskiy,63.0128,112.4714,14.88,83,10,3.39,RU,1690381962
44,okahandja,-21.9833,16.9167,25.86,15,12,7.07,NA,1690381962
45,afaahiti,-17.75,-149.2833,22.93,89,67,4.89,PF,1690381963
46,badger,64.8,-147.5333,18.23,89,0,2.57,US,1690381963
